,Q,F,dF
96,3.88,-0.030468,0.000716814
97,3.92,-0.0154772,0.000731643
98,3.96,0.000657464,0.00074846
99,4.0,0.0178558,0.000766915
100,4.04,0.0360369,0.000779283
101,4.08,0.055072,0.000798727
102,4.12,0.0744939,0.000818311
103,4.16,0.0936901,0.000835552
104,4.2,0.112047,0.000851795
105,4.24,0.129008,0.000870049
106,4.28,0.144351,0.000888882
107,4.32,0.157987,0.000901017
108,4.36,0.169821,0.000917328
109,4.4,0.179782,0.000932661
110,4.44,0.187897,0.000943766
111,4.48,0.194228,0.0009549
112,4.52,0.198839,0.000964823
113,4.56,0.201824,0.000976163
114,4.6,0.203455,0.000983219
115,4.64,0.204058,0.000989556
116,4.68,0.203961,0.000993893
117,4.72,0.203407,0.00100057
118,4.76,0.202157,0.0010046
119,4.8,0.199811,0.00101393
120,4.84,0.195968,0.0010169
121,4.88,0.190215,0.00102027
122,4.92,0.182067,0.00102038
123,4.96,0.171013,0.00102023
124,5.0,0.156542,0.00101663
125,5.04,0.138276,0.00100689
126,5.08,0.116729,0.000996989
127,5.12,0.0927905,0.000984173
128,5.16,0.0673492,0.000967172
129,5.2,0.0412948,0.00095397
130,5.24,0.0155205,0.000935435
131,5.28,-0.00907855,0.000924179
132,5.32,-0.0316073,0.000908575
133,5.36,-0.0512297,0.000903703
134,5.4,-0.0677649,0.000889975
135,5.44,-0.0814404,0.000890482
136,5.48,-0.0924897,0.000886989
137,5.52,-0.101149,0.000887485
138,5.56,-0.107705,0.000881935
139,5.6,-0.112481,0.00088511
140,5.64,-0.115805,0.000887731
141,5.68,-0.117998,0.000895162
142,5.72,-0.119265,0.00090141
143,5.76,-0.119674,0.000904741
144,5.8,-0.119285,0.000913482
145,5.84,-0.118159,0.000924086
146,5.88,-0.116438,0.000929497
147,5.92,-0.114404,0.000934298
148,5.96,-0.112354,0.000939244
149,6.0,-0.110582,0.000950405
150,6.04,-0.109274,0.000960372
151,6.08,-0.108305,0.000964352
152,6.12,-0.107498,0.000971118
153,6.16,-0.106677,0.000983462
154,6.2,-0.105696,0.000990979
155,6.24,-0.104568,0.000999165
156,6.28,-0.103356,0.000995502
157,6.32,-0.102126,0.00100448
158,6.36,-0.100928,0.0010208
159,6.4,-0.0996879,0.00102214
160,6.44,-0.0982584,0.00101972
161,6.48,-0.0964896,0.00103831
162,6.52,-0.0942339,0.00104669
163,6.56,-0.091404,0.00105086
164,6.6,-0.0879815,0.00106186
165,6.64,-0.083952,0.00107495
166,6.68,-0.0793008,0.00107784
167,6.72,-0.0740108,0.00109751
168,6.75999,-0.0680575,0.0011003
169,6.79999,-0.0614157,0.00111493
170,6.83999,-0.0540601,0.00113179
171,6.87999,-0.0459825,0.00113859
172,6.91999,-0.0372801,0.00116351
173,6.95999,-0.0280895,0.00117512
174,6.99999,-0.0185475,0.00118414
175,7.03999,-0.00879245,0.00120917
176,7.07999,0.00100991,0.00121443
177,7.11999,0.0106677,0.00123423
178,7.15999,0.019988,0.00125359
179,7.19999,0.028778,0.00127092
180,7.23999,0.0368731,0.00128458
181,7.27999,0.0441792,0.00129106
182,7.31999,0.0506132,0.00130716
183,7.35999,0.0560919,0.00131507
184,7.39999,0.0605345,0.00133744
185,7.43999,0.0638825,0.00133718
186,7.47999,0.0660879,0.00134627
187,7.51999,0.0671028,0.00135116
188,7.55999,0.0668815,0.00135843
189,7.59999,0.0654944,0.00136
190,7.63999,0.0631928,0.00136758
191,7.67999,0.0602433,0.00136122
192,7.71999,0.0569126,0.00135988
193,7.75999,0.0534538,0.00137112
194,7.79999,0.0500402,0.00137557
195,7.83999,0.0468159,0.00136385
196,7.87999,0.0439249,0.00137485
197,7.91999,0.0415094,0.00136915
198,7.95999,0.0396249,0.00137515
199,7.99999,0.0382068,0.00138232
200,8.03999,0.037182,0.00138554
201,8.07999,0.0364771,0.0013791
202,8.11999,0.03603,0.00138224
203,8.15999,0.0358495,0.00139718
204,8.19999,0.035973,0.00139496
205,8.23999,0.0364375,0.00140022
206,8.27999,0.0372795,0.00141129
207,8.31999,0.0384518,0.00140876
208,8.35999,0.0397568,0.00142254
209,8.39999,0.0409809,0.0014224
210,8.43999,0.0419106,0.00142643
211,8.47999,0.0423488,0.00144036
212,8.51999,0.0422833,0.00144271
213,8.55999,0.0418195,0.00144485
214,8.59999,0.0410648,0.00144338
215,8.63999,0.0401264,0.00146012
216,8.67999,0.039062,0.0014497
217,8.71999,0.0377478,0.00145042
218,8.75999,0.0360182,0.00145532
219,8.79999,0.0337075,0.00146667
220,8.83999,0.0306528,0.0014606
221,8.87999,0.0268277,0.00146724
222,8.91999,0.0224107,0.00145986
223,8.95999,0.0175969,0.00145331
224,8.99999,0.0125816,0.00145146
225,9.03999,0.00755053,0.0014517
226,9.07999,0.00256034,0.00144947
227,9.11999,-0.00242615,0.00145351
228,9.15999,-0.00744822,0.00144785
229,9.19999,-0.0125451,0.00143343
230,9.23999,-0.0177435,0.0014395
231,9.27999,-0.022992,0.00144281
232,9.31999,-0.0282096,0.00143947
233,9.35999,-0.0333151,0.00143144
234,9.39999,-0.0382274,0.00142528
235,9.43999,-0.0428639,0.00142578
236,9.47999,-0.0471371,0.00142532
237,9.51999,-0.0509588,0.0014239
238,9.55999,-0.0542405,0.00143544
239,9.59999,-0.056894,0.00142521
240,9.63999,-0.0588873,0.00142425
241,9.67999,-0.0603167,0.00143204
242,9.71999,-0.0612958,0.00143337
243,9.75999,-0.0619385,0.00142929
