[2025-07-19 12:52:24,999][__main__][INFO] - — Optimising with AugLagLoss + FIRE —
[2025-07-19 12:52:36,955][__main__][INFO] - step  100 | loss = 41598922925277184.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.125e+03 | scale_scatt=6.250e+01 | rho=9.766e+03 | lambda_corr=2.723e+07 | 
[2025-07-19 12:52:36,956][__main__][INFO] - [MACE] Relax block at outer step 100
[2025-07-19 12:52:38,436][__main__][INFO] -     MACE sub‑step 00 | E = -653.623657 eV
[2025-07-19 12:52:40,768][__main__][INFO] -     MACE sub‑step 03 | E = -653.623657 eV
[2025-07-19 12:52:41,643][__main__][INFO] - step  105 | loss = 41598952990048256.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.125e+03 | scale_scatt=6.250e+01 | rho=9.766e+03 | lambda_corr=6.407e+07 | 
[2025-07-19 12:52:41,718][__main__][INFO] - step  110 | loss = 93018073824493568.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.988e+03 | scale_scatt=1.398e+02 | rho=4.883e+04 | lambda_corr=1.304e+08 | 
[2025-07-19 12:52:41,790][__main__][INFO] - step  115 | loss = 93018211263447040.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=6.988e+03 | scale_scatt=1.398e+02 | rho=4.883e+04 | lambda_corr=3.146e+08 | 
[2025-07-19 12:52:41,866][__main__][INFO] - step  120 | loss = 207994958223769600.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.563e+04 | scale_scatt=3.125e+02 | rho=2.441e+05 | lambda_corr=6.462e+08 | 
[2025-07-19 12:52:41,945][__main__][INFO] - step  125 | loss = 207995662598406144.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.563e+04 | scale_scatt=3.125e+02 | rho=2.441e+05 | lambda_corr=1.567e+09 | 
[2025-07-19 12:52:42,021][__main__][INFO] - step  130 | loss = 465092044159713280.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.494e+04 | scale_scatt=6.988e+02 | rho=1.221e+06 | lambda_corr=3.225e+09 | 
[2025-07-19 12:52:42,105][__main__][INFO] - step  135 | loss = 465095514493288448.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.494e+04 | scale_scatt=6.988e+02 | rho=1.221e+06 | lambda_corr=7.830e+09 | 
