463
Q(A-1)	73F(Q)
17.25	-0.02209
17.3	-0.02127
17.35	-0.02087
17.4	-0.02103
17.45	-0.01927
17.5	-0.01891
17.55	-0.01779
17.6	-0.01594
17.65	-0.01461
17.7	-0.01381
17.75	-0.01209
17.8	-0.0106
17.85	-0.00781
17.9	-0.00632
17.95	-0.0049
18	-0.00237
18.05	-0.00066
18.1	0.00112
18.15	0.00291
18.2	0.00454
18.25	0.00629
18.3	0.00764
18.35	0.00966
18.4	0.01004
18.45	0.01129
18.5	0.0128
18.55	0.01208
18.6	0.01401
18.65	0.01443
18.7	0.01494
18.75	0.01447
18.8	0.01452
18.85	0.01412
18.9	0.01355
18.95	0.01404
19	0.01358
19.05	0.01329
19.1	0.01217
19.15	0.01039
19.2	0.01045
19.25	0.00972
19.3	0.00888
19.35	0.00828
19.4	0.00674
19.45	0.00605
19.5	0.00605
19.55	0.00442
19.6	0.00455
19.65	0.00289
19.7	0.00224
19.75	0.00186
19.8	0.00096
19.85	-0.00038
19.9	-0.00072
19.95	-0.00149
20	-0.00184
20.05	-0.00309
20.1	-0.00412
20.15	-0.00425
20.2	-0.00526
20.25	-0.00625
20.3	-0.00655
20.35	-0.00787
20.4	-0.0089
20.45	-0.0089
20.5	-0.01004
20.55	-0.01077
20.6	-0.01129
20.65	-0.0111
20.7	-0.01221
20.75	-0.01241
20.8	-0.01249
20.85	-0.01316
20.9	-0.01337
20.95	-0.01296
21	-0.01287
21.05	-0.01228
21.1	-0.01224
21.15	-0.01202
21.2	-0.01158
21.25	-0.011
21.3	-0.01076
21.35	-0.00979
21.4	-0.00917
21.45	-0.00769
21.5	-0.00783
21.55	-0.00699
21.6	-0.00567
21.65	-0.00491
21.7	-0.00415
21.75	-0.00269
21.8	-0.00226
21.85	-0.0012
21.9	-0.0001
21.95	0.00104
22	0.0024
22.05	0.00312
22.1	0.00363
22.15	0.00075
22.2	0.00555
22.25	0.00647
22.3	0.00762
22.35	0.00828
22.4	0.00856
22.45	0.00939
22.5	0.00926
22.55	0.00894
22.6	0.00979
22.65	0.01019
22.7	0.00967
22.75	0.01054
22.8	0.00985
22.85	0.00949
22.9	0.00947
22.95	0.00931
23	0.00777
23.05	0.00814
23.1	0.00787
23.15	0.00652
23.2	0.00493
23.25	0.00515
23.3	0.00409
23.35	0.00298
23.4	0.00205
23.45	0.00171
23.5	0.00045
