463
Q(A-1)	70F(Q)
0.4	-0.446204
0.45	-0.435554
0.5	-0.426334
0.55	-0.415354
0.6	-0.406874
0.65	-0.397004
0.7	-0.384454
0.75	-0.370744
0.8	-0.357104
0.85	-0.341754
0.9	-0.325134
0.95	-0.302634
1	-0.277894
1.05	-0.248444
1.1	-0.211414
1.15	-0.169834
1.2	-0.120414
1.25	-0.065784
1.3	-0.005784
1.35	0.054556
1.4	0.107766
1.45	0.151556
1.5	0.173786
1.55	0.175536
1.6	0.158686
1.65	0.127506
1.7	0.088036
1.75	0.048956
1.8	0.010576
1.85	-0.023814
1.9	-0.055914
1.95	-0.079704
2	-0.099994
2.05	-0.115554
2.1	-0.124844
2.15	-0.133424
2.2	-0.137814
2.25	-0.142294
2.3	-0.144684
2.35	-0.144834
2.4	-0.144904
2.45	-0.144754
2.5	-0.143554
2.55	-0.144274
2.6	-0.145994
2.65	-0.148904
2.7	-0.153564
2.75	-0.158954
2.8	-0.164474
2.85	-0.169114
2.9	-0.174134
2.95	-0.179784
3	-0.182464
3.05	-0.184814
3.1	-0.184864
3.15	-0.185694
3.2	-0.183764
3.25	-0.181264
3.3	-0.177114
3.35	-0.171734
3.4	-0.166424
3.45	-0.159104
3.5	-0.150424
3.55	-0.139404
3.6	-0.127004
3.65	-0.114364
3.7	-0.099794
3.75	-0.083994
3.8	-0.065224
3.85	-0.046124
3.9	-0.023394
3.95	7.16E-4
4	0.025196
4.05	0.056136
4.1	0.085176
4.15	0.113526
4.2	0.140146
4.25	0.168786
4.3	0.193196
4.35	0.213926
4.4	0.232996
4.45	0.246326
4.5	0.255806
4.55	0.261246
4.6	0.262656
4.65	0.263496
4.7	0.259746
4.75	0.254956
4.8	0.247726
4.85	0.238316
4.9	0.227336
4.95	0.209596
5	0.188436
5.05	0.159816
5.1	0.127356
5.15	0.090126
5.2	0.053216
5.25	0.012996
5.3	-0.022044
5.35	-0.051704
5.4	-0.076324
5.45	-0.097834
5.5	-0.112354
5.55	-0.122004
5.6	-0.129644
5.65	-0.133464
5.7	-0.135774
5.75	-0.135154
5.8	-0.133494
5.85	-0.130314
5.9	-0.127274
5.95	-0.122124
6	-0.118534
6.05	-0.115674
6.1	-0.111754
6.15	-0.109604
6.2	-0.107024
6.25	-0.105314
6.3	-0.104754
6.35	-0.102204
6.4	-0.101574
6.45	-0.099894
6.5	-0.101154
6.55	-0.099874
6.6	-0.097444
6.65	-0.093594
6.7	-0.088574
6.75	-0.083294
6.8	-0.076414
6.85	-0.068474
6.9	-0.059474
6.95	-0.048834
7	-0.036434
7.05	-0.024484
7.1	-0.010254
7.15	0.003786
7.2	0.017386
7.25	0.029526
7.3	0.039846
7.35	0.051106
7.4	0.058606
7.45	0.066076
7.5	0.071436
7.55	0.074906
7.6	0.079136
7.65	0.079046
7.7	0.074326
7.75	0.069536
7.8	0.066126
7.85	0.062966
7.9	0.061356
7.95	0.057666
8	0.055136
8.05	0.053946
8.1	0.054386
8.15	0.056886
8.2	0.058026
8.25	0.057176
8.3	0.060386
8.35	0.062196
8.4	0.062666
8.45	0.063856
8.5	0.064486
8.55	0.064806
8.6	0.063336
8.65	0.061556
8.7	0.059186
8.75	0.055776
8.8	0.050816
8.85	0.044036
8.9	0.038506
8.95	0.031326
9	0.023756
9.05	0.014416
9.1	0.006286
9.15	-0.004034
9.2	-0.014424
9.25	-0.021914
9.3	-0.030654
9.35	-0.039954
9.4	-0.047034
9.45	-0.054114
9.5	-0.059914
9.55	-0.065204
9.6	-0.069894
9.65	-0.072444
9.7	-0.074184
9.75	-0.074374
9.8	-0.074044
9.85	-0.073204
9.9	-0.071984
9.95	-0.068774
10	-0.066024
10.05	-0.063034
10.1	-0.061104
10.15	-0.056274
10.2	-0.052494
10.25	-0.050074
10.3	-0.047144
10.35	-0.044494
10.4	-0.039814
10.45	-0.037314
10.5	-0.035564
10.55	-0.033254
10.6	-0.029614
10.65	-0.027174
10.7	-0.023484
10.75	-0.022074
10.8	-0.022614
10.85	-0.015154
10.9	-0.012064
10.95	-0.008314
11	-0.002574
11.05	0.002496
11.1	0.007726
11.15	0.014716
11.2	0.022696
11.25	0.029956
11.3	0.037566
11.35	0.044336
11.4	0.051036
11.45	0.057866
11.5	0.062976
11.55	0.066876
11.6	0.072526
11.65	0.076736
11.7	0.077756
11.75	0.078126
11.8	0.077176
11.85	0.075956
11.9	0.073696
11.95	0.070696
12	0.067346
12.05	0.062186
12.1	0.056636
12.15	0.049546
12.2	0.045576
12.25	0.039126
12.3	0.033426
12.35	0.027536
12.4	0.021816
12.45	0.014846
12.5	0.009776
12.55	0.001886
12.6	-0.001474
12.65	-0.006194
12.7	-0.010344
12.75	-0.014784
12.8	-0.019594
12.85	-0.024174
12.9	-0.028484
12.95	-0.032534
13	-0.035504
13.05	-0.039104
13.1	-0.042074
13.15	-0.044754
13.2	-0.047994
13.25	-0.048394
13.3	-0.049554
13.35	-0.052714
13.4	-0.052284
13.45	-0.052514
13.5	-0.051894
13.55	-0.051524
13.6	-0.049594
13.65	-0.048464
13.7	-0.045024
13.75	-0.042914
13.8	-0.040604
13.85	-0.036524
13.9	-0.034044
13.95	-0.030254
14	-0.024584
14.05	-0.020824
14.1	-0.017274
14.15	-0.012414
14.2	-0.008354
14.25	-0.005604
14.3	-0.001324
14.35	0.001296
14.4	0.005946
14.45	0.007356
14.5	0.010516
14.55	0.011716
14.6	0.013156
14.65	0.014546
14.7	0.016156
14.75	0.018656
14.8	0.019276
14.85	0.020186
14.9	0.021256
14.95	0.021916
15	0.022466
15.05	0.024066
15.1	0.023946
15.15	0.025026
15.2	0.025496
15.25	0.028326
15.3	0.027306
15.35	0.029016
15.4	0.030426
15.45	0.031036
15.5	0.032526
15.55	0.033336
15.6	0.034536
15.65	0.034416
15.7	0.034826
15.75	0.034496
15.8	0.034326
15.85	0.032496
15.9	0.030386
15.95	0.030006
16	0.027006
16.05	0.024206
16.1	0.021896
16.15	0.018256
16.2	0.014646
16.25	0.011146
16.3	0.006456
16.35	0.002246
16.4	-0.001854
16.45	-0.005344
16.5	-0.010874
16.55	-0.015224
16.6	-0.016844
16.65	-0.020974
16.7	-0.024074
16.75	-0.026854
16.8	-0.030514
16.85	-0.031934
16.9	-0.033784
16.95	-0.036214
17	-0.037304
17.05	-0.038784
17.1	-0.039194
17.15	-0.039514
17.2	-0.040244
17.25	-0.039894
17.3	-0.038944
17.35	-0.038194
17.4	-0.036434
17.45	-0.035254
17.5	-0.034194
17.55	-0.032094
17.6	-0.029694
17.65	-0.027674
17.7	-0.025254
17.75	-0.022104
17.8	-0.020054
17.85	-0.016274
17.9	-0.013384
17.95	-0.010774
18	-0.006844
18.05	-0.003404
18.1	-2.04E-4
18.15	0.003796
18.2	0.006896
18.25	0.009816
18.3	0.012836
18.35	0.016056
18.4	0.017216
18.45	0.019966
18.5	0.021936
18.55	0.022456
18.6	0.024816
18.65	0.025996
18.7	0.026686
18.75	0.026686
18.8	0.026826
18.85	0.025746
18.9	0.026046
18.95	0.026456
19	0.025936
19.05	0.025226
19.1	0.023396
19.15	0.021746
19.2	0.021736
19.25	0.018906
19.3	0.018206
19.35	0.017166
19.4	0.015096
19.45	0.012996
19.5	0.012396
19.55	0.010766
19.6	0.009566
19.65	0.007666
19.7	0.006216
