r,G_r
3.25,0.858175
3.26,0.962463
3.27,1.05999
3.28,1.149903
3.29,1.231447
3.3,1.303973
3.31,1.366951
3.32,1.419972
3.33,1.462756
3.34,1.495152
3.35,1.517139
3.36,1.528823
3.37,1.53043
3.38,1.522306
3.39,1.504903
3.4,1.478771
3.41,1.444551
3.42,1.402956
3.43,1.354764
3.44,1.300803
3.45,1.241935
3.46,1.179048
3.47,1.113035
3.48,1.044789
3.49,0.975184
3.5,0.905068
3.51,0.83525
3.52,0.766492
3.53,0.699502
3.54,0.634924
3.55,0.573336
3.56,0.515244
3.57,0.46108
3.58,0.411202
3.59,0.365891
3.6,0.325354
3.61,0.289729
3.62,0.259081
3.63,0.233413
3.64,0.212667
3.65,0.196729
3.66,0.185437
3.67,0.178584
3.68,0.175927
3.69,0.17719
3.7,0.182072
3.71,0.190251
3.72,0.201392
3.73,0.21515
3.74,0.231176
3.75,0.24912
3.76,0.268635
3.77,0.289384
3.78,0.311038
3.79,0.333281
3.8,0.355812
3.81,0.378347
3.82,0.40062
3.83,0.422383
3.84,0.443408
3.85,0.463489
3.86,0.482438
3.87,0.50009
3.88,0.516299
3.89,0.530941
3.9,0.54391
3.91,0.555123
3.92,0.564514
3.93,0.572037
3.94,0.577666
3.95,0.581392
3.96,0.583222
3.97,0.583182
3.98,0.581313
3.99,0.577672
4,0.572328
4.01,0.565364
4.02,0.556876
4.03,0.546968
4.04,0.535755
4.05,0.523358
4.06,0.509904
4.07,0.495524
4.08,0.48035
4.09,0.464516
4.1,0.448152
4.11,0.431386
4.12,0.414339
4.13,0.397128
4.14,0.379856
4.15,0.36262
4.16,0.345503
4.17,0.328578
4.18,0.3119
4.19,0.295515
4.2,0.279451
4.21,0.263725
4.22,0.248337
4.23,0.233276
4.24,0.218517
4.25,0.204027
4.26,0.189759
4.27,0.175662
4.28,0.161677
4.29,0.147741
4.3,0.133789
4.31,0.119756
4.32,0.105579
4.33,0.0912
4.34,0.076566
4.35,0.061633
4.36,0.046365
4.37,0.030738
4.38,0.01474
4.39,-0.001629
4.4,-0.018355
4.41,-0.03541
4.42,-0.052754
4.43,-0.070334
4.44,-0.088084
4.45,-0.105929
4.46,-0.123784
4.47,-0.141554
4.48,-0.159142
4.49,-0.176442
4.5,-0.193352
4.51,-0.209765
4.52,-0.22558
4.53,-0.2407
4.54,-0.255033
4.55,-0.268499
4.56,-0.281024
4.57,-0.29255
4.58,-0.30303
4.59,-0.312431
4.6,-0.320738
4.61,-0.327947
4.62,-0.334072
4.63,-0.33914
4.64,-0.343195
4.65,-0.346292
4.66,-0.348498
4.67,-0.349892
4.68,-0.350561
4.69,-0.3506
4.7,-0.350106
4.71,-0.349183
4.72,-0.347931
4.73,-0.346451
4.74,-0.34484
4.75,-0.343188
4.76,-0.341578
4.77,-0.340082
4.78,-0.338763
4.79,-0.337669
4.8,-0.336835
4.81,-0.336284
4.82,-0.336022
4.83,-0.336041
4.84,-0.336319
4.85,-0.33682
4.86,-0.337495
4.87,-0.338282
4.88,-0.339112
4.89,-0.339903
4.9,-0.340569
4.91,-0.341019
4.92,-0.341159
4.93,-0.340893
4.94,-0.340128
4.95,-0.338777
4.96,-0.336755
4.97,-0.333988
4.98,-0.330412
4.99,-0.325973
5,-0.320631
5.01,-0.314362
5.02,-0.307155
5.03,-0.299016
5.04,-0.289968
5.05,-0.280048
5.06,-0.269312
5.07,-0.257829
5.08,-0.245683
