,r,T
303,3.03,0.380059
304,3.04,0.393007
305,3.05,0.40534
306,3.06,0.416845
307,3.07,0.427239
308,3.08,0.436183
309,3.09,0.443317
310,3.1,0.4483
311,3.11,0.450857
312,3.12,0.450818
313,3.13,0.448157
314,3.14,0.443004
315,3.15,0.435647
316,3.16,0.42651
317,3.17,0.416117
318,3.18,0.40504
319,3.19,0.393843
320,3.2,0.383034
321,3.21,0.373019
322,3.22,0.364081
323,3.23,0.356376
324,3.24,0.349948
325,3.25,0.344761
326,3.26,0.340743
327,3.27,0.337825
328,3.28,0.335983
329,3.29,0.335256
330,3.3,0.335752
331,3.31,0.337629
332,3.32,0.341068
333,3.33,0.346225
334,3.34,0.353193
335,3.35,0.361959
336,3.36,0.372387
337,3.37,0.384214
338,3.38,0.397069
339,3.39,0.410511
340,3.4,0.424083
341,3.41,0.437363
342,3.42,0.450019
343,3.43,0.46184
344,3.44,0.472761
345,3.45,0.482853
346,3.46,0.492298
347,3.47,0.501357
348,3.48,0.510313
349,3.49,0.519431
350,3.5,0.528917
351,3.51,0.538894
352,3.52,0.549395
353,3.53,0.560371
354,3.54,0.571711
355,3.55,0.583274
356,3.56,0.594912
357,3.57,0.606496
358,3.58,0.617934
359,3.59,0.62917
360,3.6,0.640185
361,3.61,0.650985
362,3.62,0.661589
363,3.63,0.672019
364,3.64,0.682296
365,3.65,0.692441
366,3.66,0.702476
367,3.67,0.712437
368,3.68,0.722375
369,3.69,0.732356
370,3.7,0.742456
371,3.71,0.752745
372,3.72,0.763269
373,3.73,0.774032
374,3.74,0.78498
375,3.75,0.795995
376,3.76,0.806908
377,3.77,0.817516
378,3.78,0.827619
379,3.79,0.837058
380,3.8,0.845751
381,3.81,0.853729
382,3.82,0.861138
383,3.83,0.868238
384,3.84,0.875368
385,3.85,0.882902
386,3.86,0.891185
387,3.87,0.900481
388,3.88,0.910922
389,3.89,0.922484
390,3.9,0.934986
391,3.91,0.948119
392,3.92,0.961501
393,3.93,0.974737
394,3.94,0.987497
395,3.95,0.999571
396,3.96,1.010914
397,3.97,1.021653
398,3.98,1.032069
399,3.99,1.042551
400,4.0,1.053524
401,4.01,1.065385
402,4.02,1.078423
403,4.03,1.092773
404,4.04,1.10839
405,4.05,1.125048
406,4.06,1.142369
407,4.07,1.159868
408,4.08,1.177009
409,4.09,1.193258
410,4.1,1.208124
411,4.11,1.221181
412,4.12,1.232077
413,4.13,1.240522
414,4.14,1.246268
415,4.15,1.249093
416,4.16,1.248794
417,4.17,1.245188
418,4.18,1.238136
419,4.19,1.227576
420,4.2,1.21356
421,4.21,1.196294
422,4.22,1.176147
423,4.23,1.153658
424,4.24,1.129493
425,4.25,1.104398
426,4.26,1.079116
427,4.27,1.054317
428,4.28,1.030521
429,4.29,1.008059
430,4.3,0.987054
431,4.31,0.967448
432,4.32,0.949062
433,4.33,0.931675
434,4.34,0.915112
435,4.35,0.899327
436,4.36,0.88445
437,4.37,0.8708
438,4.38,0.858855
439,4.39,0.849176
440,4.4,0.842312
441,4.41,0.838689
442,4.42,0.838512
443,4.43,0.841705
444,4.44,0.847889
445,4.45,0.856418
446,4.46,0.866461
447,4.47,0.87712
448,4.48,0.887559
449,4.49,0.897132
450,4.5,0.905473
451,4.51,0.912537
452,4.52,0.918593
453,4.53,0.924151
454,4.54,0.92986
455,4.55,0.936376
456,4.56,0.944237
457,4.57,0.953761
458,4.58,0.964997
459,4.59,0.977716
460,4.6,0.991469
461,4.61,1.005677
462,4.62,1.019751
463,4.63,1.033203
464,4.64,1.045746
465,4.65,1.057344
466,4.66,1.068215
467,4.67,1.078786
468,4.68,1.089604
469,4.69,1.101232
470,4.7,1.114134
471,4.71,1.128587
472,4.72,1.144632
473,4.73,1.162064
474,4.74,1.180471
475,4.75,1.199312
476,4.76,1.218012
477,4.77,1.236064
478,4.78,1.253106
479,4.79,1.268977
480,4.8,1.283723
481,4.81,1.297568
482,4.82,1.31086
483,4.83,1.323987
484,4.84,1.337298
485,4.85,1.351044
486,4.86,1.365331
487,4.87,1.380118
488,4.88,1.395233
489,4.89,1.410423
490,4.9,1.425405
491,4.91,1.439921
492,4.92,1.45378
493,4.93,1.46687
494,4.94,1.47916
495,4.95,1.490668
496,4.96,1.501434
497,4.97,1.511472
498,4.98,1.520749
499,4.99,1.52917
500,5.0,1.536591
501,5.01,1.542843
502,5.02,1.547778
503,5.03,1.551305
504,5.04,1.553427
505,5.05,1.554258
506,5.06,1.554008
507,5.07,1.552959
508,5.08,1.551403
509,5.09,1.549589
510,5.1,1.547658
511,5.11,1.545605
512,5.12,1.543259
513,5.13,1.540295
514,5.14,1.536276
515,5.15,1.530716
516,5.16,1.523162
517,5.17,1.513261
518,5.18,1.500826
519,5.19,1.485869
520,5.2,1.468603
521,5.21,1.449415
522,5.22,1.428813
523,5.23,1.407361
524,5.24,1.385603
525,5.25,1.364005
526,5.26,1.342915
527,5.27,1.322545
528,5.28,1.30298
529,5.29,1.284206
530,5.3,1.266158
531,5.31,1.24876
532,5.32,1.23197
533,5.33,1.215799
534,5.34,1.200325
535,5.35,1.185679
536,5.36,1.172023
537,5.37,1.159523
538,5.38,1.148312
539,5.39,1.138478
540,5.4,1.130045
541,5.41,1.12298
542,5.42,1.117207
543,5.43,1.112628
544,5.44,1.109142
545,5.45,1.106668
546,5.46,1.105147
547,5.47,1.104547
548,5.48,1.104841
549,5.49,1.105998
550,5.5,1.107953
551,5.51,1.1106
552,5.52,1.113778
553,5.53,1.117284
554,5.54,1.120883
555,5.55,1.124344
556,5.56,1.127468
557,5.57,1.13012
558,5.58,1.132254
559,5.59,1.133924
560,5.6,1.135276
561,5.61,1.136534
562,5.62,1.137966
563,5.63,1.139848
564,5.64,1.142424
565,5.65,1.145875
566,5.66,1.150295
567,5.67,1.155686
568,5.68,1.161958
569,5.69,1.168951
570,5.7,1.176455
571,5.71,1.184234
572,5.72,1.192059
573,5.73,1.19972
574,5.74,1.20704
575,5.75,1.213883
576,5.76,1.220154
577,5.77,1.225794
578,5.78,1.230779
579,5.79,1.235121
580,5.8,1.238866
581,5.81,1.242101
582,5.82,1.24496
583,5.83,1.247617
584,5.84,1.250288
585,5.85,1.253214
586,5.86,1.25664
587,5.87,1.260787
588,5.88,1.265821
589,5.89,1.27182
590,5.9,1.278757
591,5.91,1.286488
592,5.92,1.294761
593,5.93,1.303239
594,5.94,1.311544
595,5.95,1.319307
596,5.96,1.32622
597,5.97,1.332088
598,5.98,1.336862
599,5.99,1.340657
600,6.0,1.343738
601,6.01,1.346495
602,6.02,1.349381
603,6.03,1.352855
604,6.04,1.357312
605,6.05,1.363025
606,6.06,1.370104
607,6.07,1.378476
608,6.08,1.387903
609,6.09,1.398009
610,6.1,1.408344
611,6.11,1.418443
612,6.12,1.427898
613,6.13,1.436407
614,6.14,1.443811
615,6.15,1.450104
616,6.16,1.455415
617,6.17,1.459966
618,6.18,1.464025
619,6.19,1.467847
620,6.2,1.471621
621,6.21,1.475442
622,6.22,1.479296
623,6.23,1.483075
624,6.24,1.486611
625,6.25,1.489722
626,6.26,1.492269
627,6.27,1.494195
628,6.28,1.495557
629,6.29,1.496533
630,6.3,1.497393
631,6.31,1.498467
632,6.32,1.500079
633,6.33,1.50249
634,6.34,1.505842
635,6.35,1.510123
636,6.36,1.515157
637,6.37,1.520624
638,6.38,1.526105
639,6.39,1.531145
640,6.4,1.535331
641,6.41,1.538352
642,6.42,1.540052
643,6.43,1.540456
644,6.44,1.539763
645,6.45,1.538307
646,6.46,1.536505
647,6.47,1.534784
648,6.48,1.533511
649,6.49,1.532938
650,6.5,1.533165
651,6.51,1.534134
652,6.52,1.535645
653,6.53,1.537402
654,6.54,1.539065
655,6.55,1.540311
656,6.56,1.540883
657,6.57,1.540628
658,6.58,1.53951
659,6.59,1.537607
660,6.6,1.535082
661,6.61,1.532154
662,6.62,1.529058
663,6.63,1.526009
664,6.64,1.523185
665,6.65,1.520713
666,6.66,1.518669
667,6.67,1.517087
668,6.68,1.515972
669,6.69,1.515311
670,6.7,1.515076
671,6.71,1.515218
672,6.72,1.515661
673,6.73,1.516294
674,6.74,1.516962
675,6.75,1.517469
676,6.76,1.517596
677,6.77,1.517125
678,6.78,1.515885
679,6.79,1.513785
680,6.8,1.510855
681,6.81,1.507263
682,6.82,1.503319
683,6.83,1.499444
684,6.84,1.496123
685,6.85,1.493833
686,6.86,1.492971
687,6.87,1.493785
688,6.88,1.496323
689,6.89,1.500418
690,6.9,1.5057
691,6.91,1.511654
692,6.92,1.517697
693,6.93,1.523271
694,6.94,1.527938
695,6.95,1.531449
696,6.96,1.533786
697,6.97,1.535164
698,6.98,1.535991
699,6.99,1.536792
700,7.0,1.538119
701,7.01,1.540454
702,7.02,1.544124
703,7.03,1.549257
704,7.04,1.555763
705,7.05,1.563364
706,7.06,1.571659
707,7.07,1.580199
708,7.08,1.588581
709,7.09,1.596517
710,7.1,1.603879
711,7.11,1.610713
712,7.12,1.617205
713,7.13,1.623628
714,7.14,1.630264
715,7.15,1.637324
716,7.16,1.644895
717,7.17,1.652897
718,7.18,1.661095
719,7.19,1.669136
720,7.2,1.676615
721,7.21,1.683162
722,7.22,1.688516
723,7.23,1.692593
724,7.24,1.695508
725,7.25,1.697573
726,7.26,1.699243
727,7.27,1.701042
728,7.28,1.703473
729,7.29,1.706928
730,7.3,1.711619
731,7.31,1.71754
732,7.32,1.724471
733,7.33,1.732013
734,7.34,1.739669
735,7.35,1.746922
736,7.36,1.753326
737,7.37,1.75858
738,7.38,1.762565
739,7.39,1.765352
740,7.4,1.767174
741,7.41,1.768369
742,7.42,1.769301
743,7.43,1.770291
744,7.44,1.771551
745,7.45,1.773149
746,7.46,1.775008
747,7.47,1.77692
748,7.48,1.778611
749,7.49,1.77979
750,7.5,1.78022
751,7.51,1.779767
752,7.52,1.778428
753,7.53,1.77633
754,7.54,1.773707
755,7.55,1.770855
756,7.56,1.768071
757,7.57,1.765604
758,7.58,1.763608
759,7.59,1.76212
760,7.6,1.761059
761,7.61,1.760255
762,7.62,1.759484
763,7.63,1.758519
764,7.64,1.757175
765,7.65,1.755347
766,7.66,1.753023
767,7.67,1.750286
768,7.68,1.747291
769,7.69,1.744227
770,7.7,1.74128
771,7.71,1.738598
772,7.72,1.736256
773,7.73,1.734256
774,7.74,1.732524
775,7.75,1.730936
776,7.76,1.72935
777,7.77,1.727634
778,7.78,1.725703
779,7.79,1.723533
780,7.8,1.721166
781,7.81,1.718707
782,7.82,1.716294
783,7.83,1.714076
784,7.84,1.712183
785,7.85,1.710704
786,7.86,1.709671
787,7.87,1.709063
788,7.88,1.708816
789,7.89,1.708846
790,7.9,1.70907
791,7.91,1.709438
792,7.92,1.709941
793,7.93,1.710624
794,7.94,1.711577
795,7.95,1.71292
796,7.96,1.714775
797,7.97,1.717242
798,7.98,1.720373
799,7.99,1.724153
800,8.0,1.728496
801,8.01,1.733251
802,8.02,1.738223
803,8.03,1.743195
804,8.04,1.747961
805,8.05,1.752354
806,8.06,1.756274
807,8.07,1.759696
808,8.08,1.762678
809,8.09,1.765352
810,8.1,1.767905
811,8.11,1.770555
812,8.12,1.773526
