,r,T
295,2.95,1.13776
296,2.96,1.09225
297,2.97,1.05114
298,2.98,1.01524
299,2.99,0.985201
300,3.0,0.961474
301,3.01,0.944335
302,3.02,0.933893
303,3.03,0.930094
304,3.04,0.93271
305,3.05,0.941342
306,3.06,0.955416
307,3.07,0.974194
308,3.08,0.99679
309,3.09,1.0222
310,3.1,1.04934
311,3.11,1.07711
312,3.12,1.10441
313,3.13,1.13022
314,3.14,1.15363
315,3.15,1.17386
316,3.16,1.19028
317,3.17,1.20242
318,3.18,1.20996
319,3.19,1.21268
320,3.2,1.21052
321,3.21,1.20349
322,3.22,1.1917
323,3.23,1.17537
324,3.24,1.15483
325,3.25,1.1305
326,3.26,1.10294
327,3.27,1.07284
328,3.28,1.04098
329,3.29,1.00824
330,3.3,0.975539
331,3.31,0.943784
332,3.32,0.913824
333,3.33,0.886382
334,3.34,0.86201
335,3.35,0.841061
336,3.36,0.82367
337,3.37,0.809768
338,3.38,0.799108
339,3.39,0.791321
340,3.4,0.785957
341,3.41,0.782561
342,3.42,0.780711
343,3.43,0.780057
344,3.44,0.780352
345,3.45,0.781443
346,3.46,0.783264
347,3.47,0.785812
348,3.48,0.78911
349,3.49,0.793181
350,3.5,0.798029
351,3.51,0.803613
352,3.52,0.809855
353,3.53,0.816646
354,3.54,0.823855
355,3.55,0.831356
356,3.56,0.839041
357,3.57,0.846829
358,3.58,0.854677
359,3.59,0.86257
360,3.6,0.870509
361,3.61,0.878503
362,3.62,0.886549
363,3.63,0.894622
364,3.64,0.902674
365,3.65,0.910633
366,3.66,0.918422
367,3.67,0.925965
368,3.68,0.933219
369,3.69,0.940178
370,3.7,0.94689
371,3.71,0.953457
372,3.72,0.960023
373,3.73,0.966754
374,3.74,0.973815
375,3.75,0.981336
376,3.76,0.989388
377,3.77,0.997955
378,3.78,1.00693
379,3.79,1.01611
380,3.8,1.02522
381,3.81,1.03392
382,3.82,1.04186
383,3.83,1.04871
384,3.84,1.05421
385,3.85,1.05818
386,3.86,1.06056
387,3.87,1.06141
388,3.88,1.06093
389,3.89,1.05941
390,3.9,1.05723
391,3.91,1.05479
392,3.92,1.05253
393,3.93,1.05084
394,3.94,1.05005
395,3.95,1.05043
396,3.96,1.05214
397,3.97,1.05524
398,3.98,1.05975
399,3.99,1.06557
400,4.0,1.07261
401,4.01,1.08073
402,4.02,1.08982
403,4.03,1.09979
404,4.04,1.11057
405,4.05,1.12213
406,4.06,1.13448
407,4.07,1.14762
408,4.08,1.16157
409,4.09,1.17634
410,4.1,1.19187
411,4.11,1.20812
412,4.12,1.22497
413,4.13,1.24228
414,4.14,1.25993
415,4.15,1.27776
416,4.16,1.29568
417,4.17,1.31362
418,4.18,1.3316
419,4.19,1.34968
420,4.2,1.36799
421,4.21,1.38673
422,4.22,1.40609
423,4.23,1.42628
424,4.24,1.44746
425,4.25,1.46975
426,4.26,1.49317
427,4.27,1.51768
428,4.28,1.54312
429,4.29,1.56924
430,4.3,1.59576
431,4.31,1.62232
432,4.32,1.64856
433,4.33,1.6741
434,4.34,1.69862
435,4.35,1.7218
436,4.36,1.74338
437,4.37,1.76313
438,4.38,1.78086
439,4.39,1.7964
440,4.4,1.80961
441,4.41,1.82032
442,4.42,1.82837
443,4.43,1.83362
444,4.44,1.83588
445,4.45,1.83501
446,4.46,1.83088
447,4.47,1.82337
448,4.48,1.81245
449,4.49,1.79813
450,4.5,1.7805
451,4.51,1.75975
452,4.52,1.73614
